#   WAVELENGTH        FLUX
#------------- -----------
     3612.900      1.3226
     3613.000      1.3225
     3613.100      1.3225
     3613.200      1.3224
     3613.300      1.3223
     3613.400      1.3223
     3613.500      1.3222
     3613.600      1.3221
     3613.700      1.3220
     3613.800      1.3220
     3613.900      1.3219
     3614.000      1.3218
     3614.100      1.3217
     3614.200      1.3217
     3614.300      1.3216
     3614.400      1.3215
     3614.500      1.3215
     3614.600      1.3214
     3614.700      1.3213
     3614.800      1.3212
     3614.900      1.3212
     3615.000      1.3211
     3615.100      1.3210
     3615.200      1.3209
     3615.300      1.3209
     3615.400      1.3208
     3615.500      1.3207
     3615.600      1.3206
     3615.700      1.3206
     3615.800      1.3205
     3615.900      1.3204
     3616.000      1.3204
     3616.100      1.3203
     3616.200      1.3202
     3616.300      1.3201
     3616.400      1.3201
     3616.500      1.3200
     3616.600      1.3199
     3616.700      1.3198
     3616.800      1.3198
     3616.900      1.3197
     3617.000      1.3196
     3617.100      1.3196
     3617.200      1.3195
     3617.300      1.3194
     3617.400      1.3193
     3617.500      1.3193
     3617.600      1.3192
     3617.700      1.3191
     3617.800      1.3190
     3617.900      1.3190
     3618.000      1.3189
     3618.100      1.3188
     3618.200      1.3187
     3618.300      1.3187
     3618.400      1.3186
     3618.500      1.3185
     3618.600      1.3185
     3618.700      1.3184
     3618.800      1.3183
     3618.900      1.3182
     3619.000      1.3182
     3619.100      1.3181
     3619.200      1.3180
     3619.300      1.3179
     3619.400      1.3179
     3619.500      1.3178
     3619.600      1.3177
     3619.700      1.3177
     3619.800      1.3176
     3619.900      1.3175
     3620.000      1.3174
     3620.100      1.3174
     3620.200      1.3173
     3620.300      1.3172
     3620.400      1.3171
     3620.500      1.3171
     3620.600      1.3170
     3620.700      1.3169
     3620.800      1.3169
     3620.900      1.3168
     3621.000      1.3167
     3621.100      1.3166
     3621.200      1.3166
     3621.300      1.3165
     3621.400      1.3164
     3621.500      1.3163
     3621.600      1.3163
     3621.700      1.3162
