# ------------- -------------
WAVELENGTH FLUX WAVE
2998.699999999983 22.03476 ""
2998.799999999983 22.03476 ""
2998.899999999983 22.03476 ""
2998.9999999999827 22.03476 ""
2999.0999999999826 22.03476 ""
2999.1999999999825 22.03476 ""
2999.2999999999824 22.03476 ""
2999.3999999999824 22.03476 ""
2999.4999999999823 22.03476 ""
2999.599999999982 22.03476 ""
2999.699999999982 22.03476 ""
2999.799999999982 22.03476 ""
2999.899999999982 22.03476 ""
2999.999999999982 22.03476 ""
3000.0999999999817 22.03476 ""
3000.1999999999816 22.03476 ""
3000.2999999999815 22.03476 ""
3000.3999999999814 22.03476 ""
3000.4999999999814 22.03476 ""
3000.5999999999813 22.03476 ""
3000.699999999981 22.03476 ""
3000.799999999981 22.03476 ""
3000.899999999981 22.03476 ""
3000.999999999981 22.03476 ""
3001.099999999981 22.03476 ""
3001.1999999999807 22.03476 ""
3001.2999999999806 22.03476 ""
3001.3999999999805 22.03476 ""
3001.4999999999804 22.03476 ""
3001.5999999999804 22.03476 ""
3001.6999999999803 22.03476 ""
3001.79999999998 22.03476 ""
3001.89999999998 22.03476 ""
3001.99999999998 22.03476 ""
3002.09999999998 22.03476 ""
3002.19999999998 22.03476 ""
3002.2999999999797 22.03476 ""
3002.3999999999796 22.03476 ""
3002.4999999999795 22.03476 ""
3002.5999999999794 22.03476 ""
3002.6999999999794 22.03476 ""
3002.7999999999793 22.03476 ""
3002.899999999979 22.03476 ""
3002.999999999979 22.03476 ""
3003.099999999979 22.03476 ""
3003.199999999979 22.03476 ""
3003.299999999979 22.03476 ""
3003.3999999999787 22.03476 ""
3003.4999999999786 22.03476 ""
3003.5999999999785 22.03476 ""
3003.6999999999784 22.03476 ""
3003.7999999999784 22.03476 ""
3003.8999999999783 22.03476 ""
3003.999999999978 22.03476 ""
3004.099999999978 22.03476 ""
3004.199999999978 22.03476 ""
3004.299999999978 22.03476 ""
3004.399999999978 22.03476 ""
3004.4999999999777 22.03476 ""
3004.5999999999776 22.03476 ""
3004.6999999999775 22.03476 ""
3004.7999999999774 22.03476 ""
3004.8999999999774 22.03476 ""
3004.9999999999773 22.03476 ""
3005.099999999977 22.03476 ""
3005.199999999977 22.03476 ""
3005.299999999977 22.03476 ""
3005.399999999977 22.03476 ""
3005.499999999977 22.03476 ""
3005.5999999999767 22.03476 ""
3005.6999999999766 22.03476 ""
3005.7999999999765 22.03476 ""
3005.8999999999764 22.03476 ""
3005.9999999999764 22.03476 ""
3006.0999999999763 22.03476 ""
3006.199999999976 22.03476 ""
3006.299999999976 22.03476 ""
3006.399999999976 22.03476 ""
3006.499999999976 22.03476 ""
3006.599999999976 22.03476 ""
3006.6999999999757 22.03476 ""
3006.7999999999756 22.03476 ""
3006.8999999999755 22.03476 ""
3006.9999999999754 22.03476 ""
3007.0999999999754 22.03476 ""
3007.1999999999753 22.03476 ""
3007.299999999975 22.03476 ""
3007.399999999975 22.03476 ""
3007.499999999975 22.03476 ""
3007.599999999975 22.03476 ""
3007.699999999975 22.03476 ""
3007.7999999999747 22.03476 ""
3007.8999999999746 22.03476 ""
3007.9999999999745 22.03476 ""
3008.0999999999744 22.03476 ""
3008.1999999999744 22.03476 ""
3008.2999999999743 22.03476 ""
3008.399999999974 22.03476 ""
3008.499999999974 22.03476 ""
3008.599999999974 22.03476 ""
3008.699999999974 22.03476 ""
3008.799999999974 22.03476 ""
3008.8999999999737 22.03476 ""
3008.9999999999736 22.03476 ""
3009.0999999999735 22.03476 ""
3009.1999999999734 22.03476 ""
3009.2999999999734 22.03476 ""
3009.3999999999733 22.03476 ""
3009.499999999973 22.03476 ""
3009.599999999973 22.03476 ""
3009.699999999973 22.03476 ""
3009.799999999973 22.03476 ""
3009.899999999973 22.03476 ""
3009.9999999999727 22.03476 ""
3010.0999999999726 22.03476 ""
3010.1999999999725 22.03476 ""
3010.2999999999724 22.03476 ""
3010.3999999999724 22.03476 ""
3010.4999999999723 22.03476 ""
3010.599999999972 22.03476 ""
3010.699999999972 22.03476 ""
3010.799999999972 22.03476 ""
3010.899999999972 22.03476 ""
3010.999999999972 22.03476 ""
3011.0999999999717 22.03476 ""
3011.1999999999716 22.03476 ""
3011.2999999999715 22.03476 ""
3011.3999999999714 22.03476 ""
3011.4999999999714 22.03476 ""
3011.5999999999713 22.03476 ""
3011.699999999971 22.03476 ""
3011.799999999971 22.03476 ""
3011.899999999971 22.03476 ""
3011.999999999971 22.03476 ""
3012.099999999971 22.03476 ""
3012.1999999999707 22.03476 ""
3012.2999999999706 22.03476 ""
3012.3999999999705 22.03476 ""
3012.4999999999704 22.03476 ""
3012.5999999999704 22.03476 ""
3012.6999999999703 22.03476 ""
3012.79999999997 22.03476 ""
3012.89999999997 22.03476 ""
3012.99999999997 22.03476 ""
3013.09999999997 22.03476 ""
3013.19999999997 22.03476 ""
3013.2999999999697 22.03476 ""
3013.3999999999696 22.03476 ""
3013.4999999999695 22.03476 ""
3013.5999999999694 22.03476 ""
3013.6999999999694 22.03476 ""
3013.7999999999693 22.03476 ""
3013.899999999969 22.03476 ""
3013.999999999969 22.03476 ""
3014.099999999969 22.03476 ""
3014.199999999969 22.03476 ""
3014.299999999969 22.03476 ""
3014.3999999999687 22.03476 ""
3014.4999999999686 22.03476 ""
3014.5999999999685 22.03476 ""
3014.6999999999684 22.03476 ""
3014.7999999999683 22.03476 ""
3014.8999999999683 22.03476 ""
3014.999999999968 22.03476 ""
3015.099999999968 22.03476 ""
3015.199999999968 22.03476 ""
3015.299999999968 22.03476 ""
3015.399999999968 22.03476 ""
3015.4999999999677 22.03476 ""
3015.5999999999676 22.03476 ""
3015.6999999999675 22.03476 ""
3015.7999999999674 22.03476 ""
3015.8999999999673 22.03476 ""
3015.9999999999673 22.03476 ""
3016.099999999967 22.03476 ""
3016.199999999967 22.03476 ""
3016.299999999967 22.03476 ""
3016.399999999967 22.03476 ""
3016.499999999967 22.03476 ""
3016.5999999999667 22.03476 ""
3016.6999999999666 22.03476 ""
3016.7999999999665 22.03476 ""
3016.8999999999664 22.03476 ""
3016.9999999999663 22.03476 ""
3017.0999999999663 22.03476 ""
3017.199999999966 22.03476 ""
3017.299999999966 22.03476 ""
3017.399999999966 22.03476 ""
3017.499999999966 22.03476 ""
3017.599999999966 22.03476 ""
3017.6999999999657 22.03476 ""
3017.7999999999656 22.03476 ""
3017.8999999999655 22.03476 ""
3017.9999999999654 22.03476 ""
3018.0999999999653 22.03476 ""
3018.1999999999653 22.03476 ""
3018.299999999965 22.03476 ""
3018.399999999965 22.03476 ""
3018.499999999965 22.03476 ""
3018.599999999965 22.03476 ""
3018.699999999965 22.03476 ""
3018.7999999999647 22.03476 ""
3018.8999999999646 22.03476 ""
3018.9999999999645 22.03476 ""
3019.0999999999644 22.03476 ""
3019.1999999999643 22.03476 ""
3019.2999999999643 22.03476 ""
3019.399999999964 22.03476 ""
3019.499999999964 22.03476 ""
3019.599999999964 22.03476 ""
3019.699999999964 22.03476 ""
3019.799999999964 22.03476 ""
3019.8999999999637 22.03476 ""
3019.9999999999636 22.03476 ""
3020.0999999999635 22.03476 ""
3020.1999999999634 22.03476 ""
3020.2999999999633 22.03476 ""
3020.3999999999633 22.03476 ""
3020.499999999963 22.03476 ""
3020.599999999963 22.03476 ""
3020.699999999963 22.03476 ""
3020.799999999963 22.03476 ""
3020.899999999963 22.03476 ""
3020.9999999999627 22.03476 ""
3021.0999999999626 22.03476 ""
3021.1999999999625 22.03476 ""
3021.2999999999624 22.03476 ""
3021.3999999999623 22.03476 ""
3021.4999999999623 22.03476 ""
3021.599999999962 22.03476 ""
3021.699999999962 22.03476 ""
3021.799999999962 22.03476 ""
3021.899999999962 22.03476 ""
3021.999999999962 22.03476 ""
3022.0999999999617 22.03476 ""
3022.1999999999616 22.03476 ""
3022.2999999999615 22.03476 ""
3022.3999999999614 22.03476 ""
3022.4999999999613 22.03476 ""
3022.5999999999613 22.03476 ""
3022.699999999961 22.03476 ""
3022.799999999961 22.03476 ""
3022.899999999961 22.03476 ""
3022.999999999961 22.03476 ""
3023.099999999961 22.03476 ""
3023.1999999999607 22.03476 ""
3023.2999999999606 22.03476 ""
3023.3999999999605 22.03476 ""
3023.4999999999604 22.03476 ""
3023.5999999999603 22.03476 ""
3023.6999999999603 22.03476 ""
3023.79999999996 22.03476 ""
3023.89999999996 22.03476 ""
3023.99999999996 22.03476 ""
3024.09999999996 22.03476 ""
3024.19999999996 22.03476 ""
3024.2999999999597 22.03476 ""
3024.3999999999596 22.03476 ""
3024.4999999999595 22.03476 ""
3024.5999999999594 22.03476 ""
3024.6999999999593 22.03476 ""
3024.7999999999593 22.03476 ""
3024.899999999959 22.03476 ""
3024.999999999959 22.03476 ""
3025.099999999959 22.03476 ""
3025.199999999959 22.03476 ""
3025.299999999959 22.03476 ""
3025.3999999999587 22.03476 ""
3025.4999999999586 22.03476 ""
3025.5999999999585 22.03476 ""
3025.6999999999584 22.03476 ""
3025.7999999999583 22.03476 ""
3025.8999999999583 22.03476 ""
3025.999999999958 22.03476 ""
3026.099999999958 22.03476 ""
3026.199999999958 22.03476 ""
3026.299999999958 22.03476 ""
3026.399999999958 22.03476 ""
3026.4999999999577 22.03476 ""
3026.5999999999576 22.03476 ""
3026.6999999999575 22.03476 ""
3026.7999999999574 22.03476 ""
3026.8999999999573 22.03476 ""
3026.9999999999573 22.03476 ""
3027.099999999957 22.03476 ""
3027.199999999957 22.03476 ""
3027.299999999957 22.03476 ""
3027.399999999957 22.03476 ""
3027.499999999957 22.03476 ""
3027.5999999999567 22.03476 ""
3027.6999999999566 22.03476 ""
3027.7999999999565 22.03476 ""
3027.8999999999564 22.03476 ""
3027.9999999999563 22.03476 ""
3028.0999999999563 22.03476 ""
3028.199999999956 22.03476 ""
3028.299999999956 22.03476 ""
3028.399999999956 22.03476 ""
3028.499999999956 22.03476 ""
3028.599999999956 22.03476 ""
3028.6999999999557 22.03476 ""
3028.7999999999556 22.03476 ""
3028.8999999999555 22.03476 ""
3028.9999999999554 22.03476 ""
3029.0999999999553 22.03476 ""
3029.1999999999553 22.03476 ""
3029.299999999955 22.03476 ""
3029.399999999955 22.03476 ""
3029.499999999955 22.03476 ""
3029.599999999955 22.03476 ""
3029.699999999955 22.03476 ""
3029.7999999999547 22.03476 ""
3029.8999999999546 22.03476 ""
3029.9999999999545 22.03476 ""
3030.0999999999544 22.03476 ""
3030.1999999999543 22.03476 ""
3030.2999999999543 22.03476 ""
3030.399999999954 22.03476 ""
3030.499999999954 22.03476 ""
3030.599999999954 22.03476 ""
3030.699999999954 22.03476 ""
3030.799999999954 22.03476 ""
3030.8999999999537 22.03476 ""
3030.9999999999536 22.03476 ""
3031.0999999999535 22.03476 ""
3031.1999999999534 22.03476 ""
3031.2999999999533 22.03476 ""
